CustomerId,Name1,Name2,ORT01,PSTLZ,REG10,TELF1,Bnd,Crush,Flang,Flar,Flatt,HydrDate,HydrTest,HydrUnit,IsSpec,Maktx,Matnr,NoOfTubes,Thickness,Width,CastNo,DelNo,FinLot,Matnr,RmCertDate,RmCertNo,Al,c,CastNo,Charge,ChargeVal,DelNo,ET,Elon,Elon1,FinLot,InvDate,InvNo,MetalTemp,Mn,P,s,SalItem,SalNo,Si,Tst,Yst
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20210618,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X12.000 M.Fin Cut,000000000000234668,0030,3.500 mm,1100.00 mm,V49034,0901058974,1615C31,000000000000234668,20210601,0900210031,,0.050,V49034,1615C3002,15,0901058974,,36.000,33.000,1615C31,02.01.2022,4430190581,,0.420,0.020,0.005,000017,9515839498,0.008,360.000,281.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211115,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X10.000 M.Fin Cut,000000000000324171,0096,3.100 mm,1250.00 mm,V51603,0901058974,1717A44,000000000000324171,20210609,0900237509,,0.064,V51603,1717A4007,20,0901058974,,37.000,35.000,1717A44,02.01.2022,4430190581,,0.420,0.023,0.006,000018,9515839498,0.007,360.000,291.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211115,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X10.000 M.Fin Cut,000000000000324171,0096,3.100 mm,1250.00 mm,V51603,0901058974,1717A44,000000000000324171,20210609,0900237509,,0.064,V51603,1717A4007,16,0901058974,,35.000,33.000,1717A44,02.01.2022,4430190581,,0.420,0.023,0.006,000018,9515839498,0.007,364.000,294.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211115,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X10.000 M.Fin Cut,000000000000324171,0096,3.100 mm,1250.00 mm,V62567,0901058974,1B13B41,000000000000324171,20211101,0900805143,,0.060,V62567,1B13B4025,30,0901058974,,44.000,42.000,1B13B41,02.01.2022,4430190581,,0.402,0.024,0.007,000018,9515839498,0.010,355.000,273.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211115,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X10.000 M.Fin Cut,000000000000324171,0096,3.100 mm,1250.00 mm,V62567,0901058974,1B13B41,000000000000324171,20211101,0900805143,,0.060,V62567,1B13B4025,30,0901058974,,42.000,40.000,1B13B41,02.01.2022,4430190581,,0.402,0.024,0.007,000018,9515839498,0.010,359.000,280.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211017,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X8.000 M.Fin Cut,000000000000235120,0139,3.500 mm,1365.00 mm,T42896,0901058917,1722A32,000000000000235120,20210524,0900180656,,0.047,T42896,1722A3002,24,0901058917,,39.000,36.000,1722A32,02.01.2022,4430190582,,0.423,0.013,0.002,000016,9515839498,0.012,372.000,304.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211017,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X8.000 M.Fin Cut,000000000000235120,0139,3.500 mm,1365.00 mm,T42896,0901058917,1722A32,000000000000235120,20210524,0900180656,,0.047,T42896,1722A3002,24,0901058917,,38.000,35.000,1722A32,02.01.2022,4430190582,,0.423,0.013,0.002,000016,9515839498,0.012,373.000,305.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211017,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X8.000 M.Fin Cut,000000000000235120,0139,3.500 mm,1365.00 mm,V60286,0901058917,1A03A31,000000000000235120,20210922,0900637742,,0.058,V60286,1A03A3008,50,0901058917,,36.000,32.000,1A03A31,02.01.2022,4430190582,,0.346,0.018,0.003,000016,9515839498,0.009,361.000,284.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211017,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.660 mm THK X8.000 M.Fin Cut,000000000000235120,0139,3.500 mm,1365.00 mm,V60286,0901058917,1A03A31,000000000000235120,20210922,0900637742,,0.058,V60286,1A03A3008,41,0901058917,,38.000,34.000,1A03A31,02.01.2022,4430190582,,0.346,0.018,0.003,000016,9515839498,0.009,356.000,280.000
0000827300,PANKAJ TRADING CORPORATION - DOM,"1402, Lodha Supremus,",MUMBAI,400013,,0,NA,NA,NA,SATISFACTORY,SATISFACTORY,20211023,110,kg/cm2,BS 3059:1987 PT 1 ERW 320,50.80 mm OD X3.250 mm THK X6.100 M.Fin Cut,000000000000320938,0085,3.100 mm,1365.00 mm,T50352,0901058967,1A04A31,000000000000320938,20210926,0900652133,,0.053,T50352,1A04A3001,50,0901058967,,42.000,44.000,1A04A31,02.01.2022,4430190583,,0.406,0.014,0.005,000011,9515839498,0.014,347.000,270.000
