companyCode,companyName,sapDocNo,reference,sapDocType,businessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,invSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalIndicator,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata Steel Limited,45006919,R040572726149,KZ,9600,2020,1,4/4/2019,4/4/2019,"1,117,660.00","1,117,660.00",INR,"1,117,660.00",INR,0.00,0.00,"1,117,660.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190404-CAPSH,45006919,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45006919,4/4/2019,4/4/2019,5:17:27 PM,0.00,"1,117,660.00",,,1
1000,Tata Steel Limited,45006920,R040572737139,KZ,9000,2020,1,4/4/2019,4/4/2019,"366,824.77","366,824.77",INR,"366,824.77",INR,0.00,0.00,"366,824.77",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190404-CAPSH,45006920,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45006920,4/4/2019,4/4/2019,5:17:27 PM,0.00,"366,824.77",,,1
1000,Tata Steel Limited,45007443,R040872990802,KZ,5010,2020,1,5/4/2019,5/4/2019,"646,758.00","646,758.00",INR,"646,758.00",INR,0.00,0.00,"646,758.00",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190405-SERV2,45007443,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45007443,5/4/2019,5/4/2019,12:44:05 PM,0.00,"646,758.00",,,1
1000,Tata Steel Limited,45007445,R040872990805,KZ,9500,2020,1,5/4/2019,5/4/2019,"966,445.92","966,445.92",INR,"966,445.92",INR,0.00,0.00,"966,445.92",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190405-SERV2,45007445,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45007445,5/4/2019,5/4/2019,12:44:05 PM,0.00,"966,445.92",,,1
1000,Tata Steel Limited,45010166,R041073347232,KZ,0920,2020,1,9/4/2019,9/4/2019,"5,121,003.34","5,121,003.34",INR,"5,121,003.34",INR,0.00,0.00,"5,121,003.34",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190409-COPS3,45010166,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45010166,9/4/2019,9/4/2019,3:25:25 PM,0.00,"5,121,003.34",,,1
1000,Tata Steel Limited,45012116,R190800737014,KZ,9000,2020,1,11/4/2019,11/4/2019,"-162,273.60","-162,273.60",INR,"-162,273.60",INR,0.00,0.00,"-162,273.60",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190411-SERV3,45012116,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,38,H,,,45012116,11/4/2019,11/4/2019,2:26:08 PM,0.00,"-162,273.60",,,1
1000,Tata Steel Limited,45012116,R190800737014,KZ,9500,2020,1,11/4/2019,11/4/2019,"189,092.68","189,092.68",INR,"189,092.68",INR,0.00,0.00,"189,092.68",0.00,0.00,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190411-SERV3,45012116,,,,2408402,Vendor Reconciliation Account - Domestic,T040,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,2408402,Vendor Reconciliation Account - Domestic,0,25,S,,,45012116,11/4/2019,11/4/2019,2:26:08 PM,0.00,"189,092.68",,,2
1000,Tata Steel Limited,45012359,R041273723549,KZ,5030,2020,1,11/4/2019,11/4/2019,"3,510,796.22","3,510,796.22",INR,"3,510,796.22",INR,0.00,0.00,"3,510,796.22",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190411-KGLO1,45012359,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45012359,11/4/2019,11/4/2019,4:17:59 PM,0.00,"3,510,796.22",,,1
1000,Tata Steel Limited,45018260,R190804013276,KZ,9600,2020,1,16-04-2019,16-04-2019,"110,831.38","110,831.38",INR,"110,831.38",INR,0.00,0.00,"110,831.38",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190416-CAPSH,45018260,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45018260,16-04-2019,16-04-2019,10:47:04 AM,0.00,"110,831.38",,,1
1000,Tata Steel Limited,45019034,R041874345885,KZ,5030,2020,1,16-04-2019,16-04-2019,"5,355,346.56","5,355,346.56",INR,"5,355,346.56",INR,0.00,0.00,"5,355,346.56",0.00,0.00,T018,TATA BLUESCOPE STEEL PRIVATE  LIMIT,,,20190416-KGLO1,45019034,,,,2408402,Vendor Reconciliation Account - Domestic,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,,2200403,Cash Credit With HDFC- E -Payments Cleared Balance,0,25,S,,,45019034,16-04-2019,16-04-2019,4:27:27 PM,0.00,"5,355,346.56",,,1
