companyCode,companyName,sapDocNo,reference,sapDocType,bussinessArea,fiscalYear,postingPeriod,docChqDate,postingDate,amountInLocalCurrency,SOA,localCurrency,amountInDocumentCurrency,documentCurrency,discountBaseAmount,gstAmount,netAmount,withHoldingTaxBaseAmount,withHoldingTaxAmount,vendorCustomer,vendorCustomerName,tradingPartner,text,hdrText,InvSOReference,plant,purchasingDocument,deliveryNote,account,accountDescription,offsettingAccount,offsettingAccountName,grirOffsettingAccount,finalOffsettingAccount,finalOffsettingAccountName,wbsElement,postingKey,debitCredit,specialGLInd,reversalInd,clearingDocNo,clearingDate,entryDate,entryTime,nationalGST,grossAmountInLocalCurrency,deIndicator,poLine,entryLine
1000,Tata BlueScope Steel Ltd,100143931,,AB,1109,2019,7,10/31/2019,10/31/2019,55835.99,55835.99,INR,55835.99,INR,0,0,55835.99,0,0,311155,Tata steel (Engineering Services),,CI1904103099,,60431,,4404900489/133,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,100162609,11/23/2019,11/1/2019,4:59:16 AM,0,0,,,1
1000,Tata BlueScope Steel Ltd,1600000300,TDS APRIL TO SEP,DA,1101,2019,8,11/28/2019,11/28/2019,-2436,-2436,INR,-2436,INR,-2436,0,-2436,0,0,318999,Tata Steel Limited,,MUMT08756G TDS Ded @2% 121799.95 April To Sept-19,TDS APRIL TO SEPTEMBER,1600000300,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,,,11/28/2019,5:33:18 AM,0,0,,,8
1000,Tata BlueScope Steel Ltd,100199799,,AB,1112,2019,9,12/31/2019,12/31/2019,4576.7,4576.7,INR,4576.7,INR,0,0,4576.7,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1902103167,,62393,,3700800558/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,12/31/2019,6:42:26 AM,0,0,,,25
1000,Tata BlueScope Steel Ltd,1600000315,TDS APRIL TO SEP,DA,1101,2019,8,11/29/2019,11/29/2019,-5236,-5236,INR,-5236,INR,-5236,0,-5236,0,0,312193,Tata Steel Limited ( Kalinganagar),,RCHT00110F TDS Ded @2% 261760 April To Sept-19,TDS APRIL TO SEP,1600000315,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,,,11/29/2019,10:54:58 PM,0,0,,,26
1000,Tata BlueScope Steel Ltd,100141449,,AB,1109,2019,7,10/28/2019,10/28/2019,93045.41,93045.41,INR,93045.41,INR,0,0,93045.41,0,0,312193,Tata Steel Limited ( Kalinganagar),,CI1904103974,,60962,,3700796847/118,,110000,Customer - Domestic,110000,Customer - Domestic,,110000,Customer - Domestic,0,4,S,,,,,10/28/2019,8:54:48 AM,0,0,,,19
1000,Tata BlueScope Steel Ltd,1600000315,TDS APRIL TO SEP,DA,1101,2019,8,11/29/2019,11/29/2019,-6579,-6579,INR,-6579,INR,-6579,0,-6579,0,0,312193,Tata Steel Limited ( Kalinganagar),,RCHT00110F TDS Ded @2% 328950 April To Sept-19,TDS APRIL TO SEP,1600000315,,,,310300,Customer - Advance against Sale,111201,TDS Received - Customer,,111201,TDS Received - Customer,0,19,H,A,,100173563,11/30/2019,11/29/2019,10:54:58 PM,0,0,,,33
1000,Tata BlueScope Steel Ltd,100198535,,AB,1101,2019,9,12/29/2019,12/29/2019,821279.67,821279.67,INR,821279.67,INR,821279.67,0,821279.67,0,0,318999,Tata Steel Limited,,Erection Retention,,100198535,,,,111105,Customer - Retention,110000,Customer - Domestic,,110000,Customer - Domestic,0,9,S,Y,,,,12/29/2019,5:24:04 PM,0,0,,,2
1000,Tata BlueScope Steel Ltd,110861,CI1902103149,RV,1112,2019,9,12/29/2019,12/29/2019,57023.98,48325.4,INR,57023.98,INR,0,8698.58,48325.4,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62195,,3700800558/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100199799,12/31/2019,12/29/2019,4:40:24 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,112997,CI1904107030,RV,1109,2019,11,2/22/2020,2/22/2020,121243.94,102749.1,INR,121243.94,INR,0,18494.84,102749.1,0,0,312193,Tata Steel Limited ( Kalinganagar),,,,62805,,3700802539/118,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,,,2/22/2020,4:29:47 PM,0,0,,,1
1000,Tata BlueScope Steel Ltd,1400007205,,DZ,1101,2019,7,10/18/2019,10/18/2019,-1271591.45,-1271591.45,INR,-1271591.45,INR,0,0,-1271591.45,0,0,318999,Tata Steel Limited,,IL36701910187169|HDFCR52019101,IL36701910187169|HDFCR520,1400007205,,,Receipt,310300,Customer - Advance against Sale,101105,Stanchart- Clearing Pune,,101105,Stanchart- Clearing Pune,0,19,H,A,,100143952,10/31/2019,10/31/2019,11:58:02 AM,0,0,,,2
