Company_Code,Company_Name,SAP_Doc_Number,Reference,Document_Type,Business_Area,Branch/Alloc.,Fiscal_Year,Posting_Period,DocChq_Date,Posting_Date,Amount_in_Local_Currency ,Local_Currency,Amount_in_Document_Currency ,Document_Currency,Discount_Base_Amount,GST_Amount,Net_Amount ,Withholding_Tax_Base_Amount,Withholding_Tax_Amount,VendorCustomer,VendorCustomer_Name,Trading_Partner,Text_                                                                                                    ,HDR_Text                                                                                                    ,InvSO_Reference,Plant,Purchasing_Document,Delivery_Note,Account,Account_Description,Offsetting_Account,Offsetting_Acct_Name,GRIR_Offsetting_Account,Final_Offsetting_Account,Final_Offsetting_Acct_Name,WBS_Element,Posting_Key,DebitCredit,Special_GL_Ind,Reversal_Indicator,Clearing_Doc,Clearing_Date,Entry_date,Entry_Time,Notional_GST,Gross_Amount_In_Local_Currency,DE_Indicator,PO_Line,Entry_Line,
1000,Tata BlueScope Steel Ltd,101311,CI1901100325,RV,1101,122,2019,2,07/05/2019,07/05/2019,"9,79,423.50 ",INR,979423.5,INR,0,"1,49,403.58 ",830019.92,0,0,318999,Tata Steel Limited,,,,101311,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,07/05/2019,0.478622685185185,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101357,CI1901100338,RV,1101,123,2019,2,08/05/2019,08/05/2019,"9,78,699.19 ",INR,978699.19,INR,0,"1,49,293.10 ",829406.09,0,0,318999,Tata Steel Limited,,,,101357,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,08/05/2019,0.622337962962963,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101401,CI1901100349,RV,1101,125,2019,2,09/05/2019,09/05/2019,"9,48,480.78 ",INR,948480.78,INR,0,"1,44,683.50 ",803797.28,0,0,318999,Tata Steel Limited,,,,101401,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,09/05/2019,0.721678240740741,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101460,CI1901100363,RV,1101,126,2019,2,10/05/2019,10/05/2019,"15,05,779.18 ",INR,1505779.18,INR,0,"2,29,695.14 ",1276084.04,0,0,318999,Tata Steel Limited,,,,101460,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,10/05/2019,0.816296296296296,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101457,CI1901100360,RV,1108,127,2019,2,10/05/2019,10/05/2019,"13,85,976.20 ",INR,1385976.2,INR,0,"2,11,420.10 ",1174556.1,0,0,318999,Tata Steel Limited,,,,101457,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,10/05/2019,0.767511574074074,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101452,CI1901100358,RV,1108,128,2019,2,10/05/2019,10/05/2019,"3,40,506.08 ",INR,340506.08,INR,0,51941.6,288564.48,0,0,312948,"Tata Steel Limited, �Wire Division",,,,58353,,2100560010/807,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020152,26/05/2019,10/05/2019,0.7325,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101451,CI1901100357,RV,1108,129,2019,2,10/05/2019,10/05/2019,"12,53,641.95 ",INR,1253641.95,INR,0,"1,91,233.52 ",1062408.43,0,0,306263,Tata Steel limited ( CRC ),,,,58335,,2300051433/814,,110000,Customer - Domestic,501005,Revenue DS - Domestic Sales,,501005,Revenue DS - Domestic Sales,0,1,S,,,100020122,26/05/2019,10/05/2019,0.731631944444445,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101482,CI1901100369,RV,1101,130,2019,2,11/05/2019,11/05/2019,"3,06,656.07 ",INR,306656.07,INR,0,46778,259878.07,0,0,318999,Tata Steel Limited,,,,101482,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,11/05/2019,0.648171296296296,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101537,CI1901100383,RV,1101,132,2019,2,13/05/2019,13/05/2019,"31,36,810.79 ",INR,3136810.79,INR,0,"4,78,496.58 ",2658314.21,0,0,318999,Tata Steel Limited,,,,101537,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,13/05/2019,0.578217592592593,0,0,,,1,
1000,Tata BlueScope Steel Ltd,101553,CI1901100390,RV,1101,133,2019,2,13/05/2019,13/05/2019,"25,58,613.57 ",INR,"25,58,613.57 ",INR,0,"3,90,297.00 ","21,68,316.57 ",0,0,318999,Tata Steel Limited,,,,101553,,,,110000,Customer - Domestic,501040,Project Revenue - Domestic,,501040,Project Revenue - Domestic,0,1,S,,,100022980,31/05/2019,13/05/2019,0.714467592592593,0,0,,,1,
