"particular","organisation_id","deal_id","ledger","deal_name","count"
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,c8a60951-5e7a-421f-9857-aea03d5b638b,Metachain,Goldman Sachs Credit BDC,41
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"073c6706-65e5-46bb-9b2b-41a9f974f073",Metachain,Bain Europe VI ,137
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,d7e4edd6-a105-440c-b6b0-7174790a09c0,Metachain,Fund XIV ,10
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"5b185bd5-1d71-406b-bc52-3cce5256a480",Metachain,Apollo Origination Partnership II,71
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"483fa7c5-df01-4091-8db0-8a676625de21",Metachain,Blackstone Life Sciences VI L.P._24PE50,54
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"4bbd0364-c245-4807-81ab-216d0e02534c",Metachain,KKR North America Fund XIV SCSp_24PE50,12
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"721df2c3-6d3f-42c8-8fbe-d037557dd199",Metachain,"Searchlight Capital IV, L.P._24PE50",48
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"5b251ad8-b0ae-4269-9665-9e95aa44f647",Metachain,"Bain Capital Fund XIV, L.P._24PE50",11
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0e54c518-a3ab-46a7-930a-4f377d2851cf",QLDB,TPG Growth Fund VI,15
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0f52d3c5-600e-45fd-9138-fcbe511f37a2",QLDB,Blackstone Senior Direct Lending Feeder Fund LP  Series I-Unlevered,9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b042866f-35cb-4f4d-82ea-3358b035574f,Metachain,HPS European Asset Value 3,105
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"36855d59-5078-4dbd-a6b3-d28d6289ed38",Quorum,Insight Fund XIII,94
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1b999d68-b747-4d49-bca2-97ea8dcfd24e",QLDB,"PIMCO Specialty Finance Income Fund Offshore Feeder, L.P.",9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,efca0e84-2b42-42ee-ba01-947e75779025,Metachain,"Clayton, Dubilier & Rice Fund XII, L.P.",64
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"0f52d3c5-600e-45fd-9138-fcbe511f37a2",Metachain,Blackstone Senior Direct Lending Feeder Fund LP  Series I-Unlevered,106
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"073c6706-65e5-46bb-9b2b-41a9f974f073",Quorum,"Bain Capital Europe Fund VI, SCSp",1
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"866fceaf-8d8b-4d7b-ae80-9934d71bb000",Metachain,(Growth) BXG II ,56
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1afdd1ce-bcb9-488e-a5a9-965544b6e03f",Metachain,"MBK Partners Fund VI, L.P._24PE50",31
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"16e20c28-0070-4377-85d9-a3cbbb0330bc",QLDB,Brookfield Capital Partners VI,9
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"79417414-6877-4a08-ada4-a277bf1f62e0",Metachain,Blackstone Capital Partners IX L.P.,62
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"7cf626cd-dcad-4258-9b05-6dcccdadaef9",QLDB,"Ares Capital Europe VI (""ACE VI"")",10
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,d3281471-421a-48bf-a64e-cf1936798407,QLDB,"The Veritas Capital Fund IX, L.P._24PE50",2
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"3e99b57e-f5a0-4e85-a6bb-43c82eba9d5e",Metachain,"Tiger Global Private Investment Partners XVI, L.P.",51
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,ebde73ca-3f72-43ef-a7af-4779f3d95346,Metachain,"H.I.G. Europe Middle Market LBO Fund II (Cayman), L.P._24PE50",7
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"02236b12-77bc-4746-9329-16d48e9b2179",QLDB,"Oaktree Real Estate Debt Fund IV, L.P.",18
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"9b3e82f5-cb25-4b5a-b34e-3d8cb41ee75e",Metachain,"Strategic Value Special Situations Fund VI, L.P._24PE50",17
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"26fd3433-5c2f-4aa9-843d-4d43bd2369ab",Metachain,"TowerBrook Investors VI (Onshore), L.P._24PE50",57
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,b1ca1a05-6e8c-45d3-b1fc-2a3286c35890,Metachain,"Bain Capital Asia Fund V, L.P.",147
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,f12499ba-77c1-4a69-a732-015a454c3b8a,QLDB,New Mountain VII,380
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8a3769cc-7b7e-4a06-96dd-442a77d3d04d",QLDB,NB Private Debt Fund V (A) LP,15
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"8225dcf8-3f4d-4190-874e-c0852a8e5cba",QLDB,"Apollo Investment Fund X, L.P.",13
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"1f2afe21-554f-4ecd-ba27-64dee5899264",Metachain,"Kohlberg Investors X, L.P.",83
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"551b1b08-bfc5-43fc-bfc0-f71e89ce5c03",QLDB,Ares US Senior Direct Lending III (SDL 3),8
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"95fba225-4260-469f-97fa-428227e6f62b",Metachain,Bridgepoint Equity VII ,159
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"284078ac-29df-43ba-9af8-8787fa921a9e",Metachain,"Trident X US Fund, LP_24PE50",18
Count of Anchord Files,b6becb93-4b72-4e45-9c12-e55508a29a1c,"36ee97bc-1cf4-42aa-ad9b-f2eeb31c34e3",HLFabric,BCP VI ,1
